"","text"
"9397","Jobs are there, sishawa nge-experience siphuma nje eskoleni

Even for Junior position we are required to have experience. Where the F do we get such after leaving school. #SONA2019 #SONA19"
"9398","The promises are a lot for the money we have. Please don't tell us what we want to hear, tell what you want and able to do. Don't buy face, I'm definitely not voting them

Siyababonga!

As I change the channel to 161 #SONA19 #SONA2019"
"9399","Learnerships are limited, in one, only 5 people needed. Thousands of us are unemployed, only 5 are given an opportunity a year.

Education is key, blah blah.Then we sit and look at the sunset and sunrise. Niyanya nje finish #SONA2019 #SONA2019"
"9400","At least Ramaphosa used the phrase ""LGBTQI+""  <U+0001F601><U+0001F3F3><U+FE0F><U+200D><U+0001F308>
#SONA2019"
"9401","8 May 2019 - South Africa's 6th national election.
#SONA2019"
"9402","Despite optimism about NHI, hospitals and clinics were mentioned only ONCE in Ramaphosa's entire 8888 word speech. The Health System is crumbling. I expected a more serious plan of action to fix the system. NHI is a pipe dream if we don't sort out our current problems. #SONA2019"
"9403","#SONA2019 kunyiwa nini kant? https://t.co/NTD5lEF1Ql"
"9404","#SONA2019 https://t.co/gw95m9L6iq"
"9405","#SONA2019 https://t.co/u07xsGjFZI"
"9406","#SONA2019 https://t.co/GXDZ2ryhY3"
"9407","President @CyrilRamaphosa notes government has been working hard to boost #economic #growth that benefits all South Africans  #SONA2019 #GrowSouthAfrica https://t.co/4u70e8WMWP"
"9408","Equality, freedom &amp; prosperity for all. #ThumaMina! #GrowSouthAfrica #SONA2019 https://t.co/5BNbOKdYrF"
"9409","Delivering the #SONA2019, President @CyrilRamaphosa calls for unity &amp; reconciliation among South Africans. #GrowSouthAfrica. https://t.co/ftGweaxpLt"
"9410","This tweet didn’t age well. #SONA2019 <U+0001F609> https://t.co/Za1njPcwoy"
"9411","I am professional Expert photo editor &amp; #background removal my new hashtag #background #removal Removal By Clipping Path
Type Service Contact You Need Me This Link Below If 
https://t.co/oY2QMhPfSr  
#ThursdayThoughts Phillies Maya #TheThingIMissMost Leonard NATO
#SONA2019 Zubac https://t.co/wPMOSz6NRT"
"9412","I am professional Expert photo editor &amp; #background removal my new hashtag #background #removal Removal By Clipping Path
Type Service Contact You Need Me This Link Below If 
https://t.co/UBewIEZSSK
Mirotic Wells Fargo Raptors Marc
 Gasol #SONA2019 Zubac Anita #HappyINDay #<U+0E21><U+0E2D><U+0E20><U+0E35><U+0E21> https://t.co/5OwLvhETQ0"
"9413","Shout out to the 2 young women of <U+0001F923><U+0001F923><U+0001F923><U+0001F923> #SONA2019 https://t.co/XpzQ6jslz0"
"9414","During #SONA2019 we saw the Rand weaken to just above R13.67.

On 31 Jan 2018 we closed at R13.25.

Most of the weakness during Feb was driven by USD strength."
"9415","I personally think that the DA bench and @MmusiMaimane @jsteenhuisen not rising for the President after #SONA2019 was disrespectful and a disgrace. You will be punished in May."
"9416","Where is the President of the ANCYL?  #SONA2019
<U+0001F634>"
"9417","EFF MANIFESTO page 55, para 7. #SONA2019
<U+0001F6CD> https://t.co/Qq8medmFLB"
"9418","@EFFSouthAfrica So @becsplanb Rebecca Davies wasted her time writing tht useless article in è @dailymaverick about è EFF manifesto..... Cyril was using è EFF manifesto as his bible at #SONA2019 shame o @Eusebius and è rest who were retweeting must be hurt"
"9419","@Amara_molokwane So @becsplanb Rebecca Davies wasted her time writing tht useless article in è @dailymaverick about è EFF manifesto..... Cyril was using è EFF manifesto as his bible at #SONA2019 shame o @Eusebius and è rest who were retweeting must be hurt"
"9420","@CyrilRamaphosa has plagiarized parts of @EFFSouthAfrica manifesto #SONA2019"
"9421","So @becsplanb Rebecca Davies wasted her time writing tht useless article in è @dailymaverick about è EFF manifesto..... Cyril was using è EFF manifesto as his bible at #SONA2019 shame o @Eusebius and è rest who were retweeting must be hurt"
"9422","They just can't help it! It's an imbedded problem...
#SONA19
#SONA2019 https://t.co/5SlqLIgPp4"
"9423","This woman <U+0001F447><U+0001F447><U+0001F447>!  She really is some phenomenon! South Africa is going places with her. Yimngcwiii <U+0001F91E>!!!
#SONA2019 https://t.co/Cdptnh6bxY"
"9424","#SONA2019 what would u do if u president  create jobs free education  provide free housing to provide food schools list is endless economy is a start corruption protest burn buildings schools universities etc seting back let's start working together to build a better SA u and m"
"9425","South Africa: National Elections will take place on the 8th of May 2019. President Cyril Ramaphosa announced at the #SONA2019 #Africa #SouthAfrica #SONA19"
"9426","“Phakama Ramaphosa..... Aww Agrizzi “ <U+0001F483><U+0001F3FF><U+0001F483><U+0001F3FF><U+0001F483><U+0001F3FF> #SONA19 #SONA2019 https://t.co/TPQ5sIFOes"
"9427","“ This guy is going to jail and he’s busy clapping hands here” - CIC Julius Malema <U+0001F602>. #SONA2019 https://t.co/7Fxcnxrr1E"
"9428","Mina I can’t wait for a president who is going to deliver the State of the nation address in his/her own African language. And please, don’t tell me about investors... #SONA2019 #SONA19 https://t.co/S8LQSVk3Ce"
"9429","""Eskom is in crisis and the risks it poses to South Africa are great: Ramaphosa during the #SONA2019 
#Eskom"
"9430","@robertmarawa Bra Rob tonight we busy watching #SONA2019 when is the repeat again?"
"9431","A thread #SONA2019 https://t.co/2wIVYD6hvk"
"9432","#SONA2019 https://t.co/WfukyPa60q"
"9433","There's a part of me that truly thinks one full term of President #Ramaphosa will help turn SA around #SONA2019 https://t.co/AkZYNNz1Ex"
"9434","#SONA2019 I don’t get this obsession with tablets!"
"9435","All i heard is nice words, empty promises and problem analysis. NO SOLUTIONS
#SONA2019"
"9436","Thabang Makwetla was doing fine #YatlaSatane
@ #SONA2019 https://t.co/nabLZmOG8N"
"9437","Amanda Black in 2070 #SONA2019 https://t.co/hNcoiMtJd2"
"9438","Where is the membership card?  #SONA2019 https://t.co/8T72kIhI7N"
"9439","Now stratcom has a difficult duty to delete all the articles and opinions they have written in advance thinking the EFF was going to disrupt parliament <U+0001F602><U+0001F602><U+0001F602> #SONA2019"
"9440","If the EFF had planned to interrupt,  Ramaphosa wouldn't have had a chance to make that lame joke. #SONA2019 #sona19 https://t.co/Y4zqNORDZT"
"9441","This man is a false prophet #SONA2019 https://t.co/LwPydY5fWG"
"9442","On the 8 of May 20 we'll vote for EFF.  #SONA2019"
"9443","This #SONA2019 is making life very difficult for stratcom. The EFF decided to confuse them and their analysts<U+0001F602><U+0001F602><U+0001F602><U+0001F602>"
"9444","All SA TV channels are Ramaphosa shits... lemme do twitter and #RussianTV
#SONA2019"
"9445","@nombonisogasa busy ntlantlating there by #PravinENCATV
Didn't she get an opportunity to input into any of the ANC #ThumaMina bulldusts.
@eNCA 
#SONA2019"
"9446","Sociopath #Ramaphosa just took ANC voters for poes... I now wish all minority parties  UDM, PAC etc well... not DA
#SONA2019"
"9447","After #EFFManifesto the fake #CupCake now does a suedo Mandela/Tito/Manuel terrible diction poetry rendition of Mbeki... DA claps
#SONA2019 
#VoteEFF"
"9448","@CyrilRamaphosa #sona2019 it's all so called good but our country is in shambles and u doing nothing about it"
"9449","Quoting @BreneBrown #SONA2019 Thank you Mr President #Ramaphosa<U+0001F44A><U+0001F3FD>"
"9450","Where SOEs are not able 2raise sufficient financing from banks, capital markets, from development finance institutions or from the fiscus,we will need 2explore other mechanisms,such as strategic equity partnerships or selling off nonstrategic assets @DenelSOC #SONA2019 @Ice_Izo"
"9451","Wait, what Was the Radical Economic Thuggery (RET) project stance on the Industrialization, particularly the Import Substitution Industrialization? Because Cyril didn't touch it either. #SONA2019"
"9452","I just think the cabinet should be renewed with fresh minds and energetic people eg. Youth then only will we vote.
#SONA2019"
"9453","My President @CyrilRamaphosa @MYANC @ParliamentofRSA #SONA2019 #Ramaphosa https://t.co/YROunh81CL"
"9454","Stratcom agents were calling the EFFmanifesto a fairytale, but their lord and savior mr buffalo himself just quoted it verbatim <U+0001F602>#SONA19 #SONA2019 ba tlo ba stevie wonder"
"9455","[19:45] - World #TT at the moment: 1.#SONA2019 2.#GençlerBostanciya 3.#SözlesmeliMEMURSENsiz"
"9456","[20:45] - World #TT at the moment: 1.#SONA2019 2.#EyyaminKraliTurkHakemleri 3.Hilbet Soruyor"
"9457","#SONA2019 <U+0001F923><U+0001F923><U+0001F923><U+0001F91A><U+0001F3FD><U+0001F44C><U+0001F3FE> https://t.co/I9my6BylRz"
"9458","And Mme Thandi Modise ruled that Honourable Thabang Makwetla must stop clapping hands <U+0001F91A><U+0001F3FC><U+0001F6AE><U+0001F44F><U+0001F3FC><U+0001F923><U+0001F923>. #SONA2019 https://t.co/Cnr7yU1IvO"
"9459","Some of you are patiently waiting  for ""Point of order madam speaker"".  Mara you guys!!!<U+0001F923><U+0001F91A><U+0001F3FC><U+0001F6AE>  #SONA2019 https://t.co/JkckdFQhPu"
"9460","SABC live broadcasts are always shit. 
#SONA2019"
"9461","Thabang Makwetla must stop clapping hands<U+0001F602>
#SONA2019"
"9462","Everyone is happy about the speech, the PAC is never happy about anything <U+0001F602>
#SONA2019"
"9463","Hopefully he'll appoint another Deputy President after the election. #SONA2019 https://t.co/T3LXRhHT6N"
"9464","So, some #SONA2019 thoughts.

Overall, a great speech, thick with both policy substance and an aspirational vision, though sometimes going too far in both directions. Ramaphosa has shown that he's a politician of a vastly higher calibre than most."
"9465","A long-term vision of development: Clear embrace of globalization, free trade and technology on the one hand and a social market economy on the other. In a political landscape riddled with proto-communists and out-of-touch classical liberals, this is sorely needed. #SONA2019"
"9466","Finally, a comparison with the ridiculous piece of theatre that was the US State of the Union on Tuesday is worthwile, and not just with regard to the absurd contrast between the presidents. The US could learn a lot from real democracies. (Though it won't, of course.) #SONA2019"
"9467","In contrast to the feting of Zuma in KZN before the manifesto launch, there were almost no concessions whatsoever to the RET wing of the ANC, or the EFF. Clear promise of consequences for corruption and state capture. The most encouraging part of the speech, IMO. #SONA2019"
"9468","And EFF Twitter has managed to twist this into a victory, despite Malema chickening out of disrupting, by making up the preposterous idea that the speech ""copied"" the EFF manifesto. One look at the two is enough to tell you how insane that is, but it'll catch on. #SONA2019"
"9469","No doubt we'll hear more of all that in the coming days, and Ramaphosa, too, will go back to his understandable but irritating ambiguity. But this was the odd political speech that actually had some value. #SONA2019"
"9470","Second, the people saying, variously, that this is all promises, and Ramaphosa hasn't done anything, which ignores how fundamentally different he is to much of the ANC leadership, and his achievements. The commissions may not be the most dramatic, but they are crucial. #SONA2019"
"9471","Proactive initiatives by Ramaphosa himself: Competition regulations, internships, partnerships with the private sector, investment, progress in education, ACFTA. Clear, quantifiable pledges with spans of a few years, all good idas. #SONA2019"
"9472","Oh, and I'm looking forward to Tucker Carlson taking Malema's response to the speech tomorrow and attributing it to Ramaphosa, prompting a 3AM Trump tweet. Maybe that'll illustrate to Lindiwe Sisulu the difference between what is démarche-worthy and what isn't. #SONA2019"
"9473","The same thing on the social front with regards to non-racialism, equality and multiculturalism, though with less time spent on it; I would have wished a clearer rebuke of Afriforum and the EFF. #SONA2019"
"9474","The reaction has been predictably obnoxious. First, every fourth person in the ANC caucus giving CR a standing ovation is planning to actively oppose him at every turn, from the lists to the 2019 NGC. Reference to Min. Nkosazana Dlamini-Zuma was galling as well. #SONA2019"
"9475","The speech has underscored, for me, the need for Ramaphosa to win a full term and cement his control over the ANC. If not obstructed by looters, economic illiterates and racial demagogues, this man could be one of the best heads of government in the world. #SONA2019"
"9476","Cleaning up Zuma and Malema's populist mess: NHI bill coming up in the foreseeable future, a few references to land expropriation. CR seems to be trying to lower the temperature until he can craft these in a responsible way, which is a good thing. #SONA2019"
"9477","Promises made, promises kept: SOE boards, NPA, law enforcement, investment numbers. A relatively small portion of the speech, but that makes sense given that CR has been in office for just a year and has to fight off the Zuma cabal at every turn. #SONA2019"
"9478","Mxm this party poopers whatsaping the #SONA2019 speech while we watching it live are boring.
Same as the guys whispering in your ear about whats gonna happen in a movie while watching https://t.co/2CYqqLXJxQ"
"9479","#SONA2019 Leadership this of president Ramaphosa https://t.co/5oU9BY3BA2"
"9480","@RediTlhabi State of Bosasapreneurs Agrizzi. (SOBA) 
<U+0001F602>
#SONA2019"
"9481","Wow hearing @FabAcademic’s academic voice for the 1st time <U+0001F60D><U+270C><U+0001F3FE>#SONA2019"
"9482","The opposition will Never be satisfied #SONA2019"
"9483","I think that was a Good speech by President Ramaphosa <U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD>#SONA2019"
"9484","Where’s Mogoengmogoeng #SONA2019"
"9485","ikhulumilr iPresident #SONA2019"
"9486","TUKS has enough accommodation #SONA2019"
"9487","I thought Malema was standing on a Point of Order <U+0001F602><U+0001F60F>#SONA2019"
"9488","Still can’t believe there was No Point of Order lol #SONA2019"
"9489","That was a Beautiful Tswana Praise <U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD><U+0001F44F><U+0001F3FD>#SONA2019"
"9490","We gonna have another SONA after elections #SONA2019"
"9491","Halala 8 May <U+0001F1FF><U+0001F1E6><U+0001F1FF><U+0001F1E6> #SONA2019"
"9492","#SONA2019 https://t.co/JRUSjLv2H6"
"9493","#SONA2019 @MbalulaFikile @Lesufi @CyrilRamaphosa The president has given eff an inclusion into their manifesto when he mentioned addressing culture of nonpayment. EFF elections empty promises will include non payment of services."
"9494","#SONA2019
With all the heat during Zuma's tenure it was befitting to call it sona. Tonight it felt like @softna."
"9495","#SONA2019 I don't understand how can one fail in their duty to sit for two hours listening to such an inspirational leader when I do it with such ease without getting paid to do it. https://t.co/JQGqqlmeD8"
"9496","Ramaphosa on university protests: We are concerned about developments on some campuses this week, especially reports of violence and intimidation. Of particular concern, is the tragic death of Mlungisi Madonsela, a student at the DUT #SONA2019"
"9497","Ramaphosa: The SAFE Initiative has ensured that 699 schools have been provided with safe sanitation facilities. Projects in a further 1,150 schools are either in planning, design or construction stages #SONA2019"
"9498","BREAKING: South Africans will go to the polls on 8 May 2019, says Ramaphosa
#SONA2019"
"9499","Ramaphosa on GBV: Work is underway to implement decisions of the GBV summit, preparing the National Strategic Plan on GBV #SONA2019"
"9500","On school infrastructure, Ramaphosa says there are nearly 4,000 schools that still have inappropriate sanitation facilities #SONA2019"
"9501","Such concrete announcements by Ramaphosa in this speech. Seems he's wrapping up. He quotes former American president and writer, Theodore Roosevelt
#SONA2019"
"9502","Ramaphosa: We have listened to the call to make funds available to combat GBV. Funding has been allocated in the current budget to support summit decisions.Govt will lead campaign to include men &amp; boys as active champions against GBV #SONA2019"
"9503","On health. Ramaphosa: After extensive consultation, the NHI Bill will soon be ready for submission to Parliament #SONA2019"
"9504","On SOEs, Ramaphosa says a Presidential SOE Council to provide political oversight and strategic management to reform, reposition SOEs #SONA2019"
"9505","Another ''war room'' on NHI. How many of these rooms does the RSA government have so far? <U+0001F611>

#SONA2019"
"9506","Ramaphosa says Eskom will need more revenue through an affordable tariff increase #SONA2019"
"9507","Education. Ramaphosa:  Over the next 6 years, we will provide every school child in South Africa with digital workbooks and textbooks on a tablet device #SONA2019"
"9508","Mam' Khawula <U+0001F602><U+0001F602><U+0001F602><U+0001F602> ''ba bophe..Agrizzi...'' LOL

#SONA2019"
"9509","And with that, the #SONA2019 is done"
"9510","Ramaphosa: Several new technology subjects and specialisations will be introduced -  technical mathematics and technical sciences, maritime sciences, aviation studies, mining sciences, and aquaponics #SONA2019"
"9511","ANC MPs: Phakaaaama Ramaphosa...ixeeeesha lisondele

Mam Khawula (EFF): Ba bopheeee....Agrizziiiii

<U+0001F602><U+0001F602><U+0001F602>

#SONA2019"
"9512","On commissions of inquiry: Ramaphosa says evidence of criminal activity that emerges must be evaluated by the criminal justice system and the implicated prosecuted #SONA2019"
"9513","Ramaphosa on Eskom: Eskom is in crisis and the risks it poses to South Africa are great. It could severely damage our economic and social development ambitions. We need to take bold decisions and decisive action #SONA2019"
"9514","BREAKING: Ramaphosa says Eskom will be unbundled into 3 entities - Generation, Transmission and Distribution 
#SONA2019"
"9515","#Eskom Ramaphosa says the unbundling will ensure cost isolation cost and give responsibility to each appropriate entity 

#SONA2019"
"9516","Ramaphosa on infrastructure development: says projects underway already including expansion of student accommodation #SONA2019"
"9517","EFF leader Malema says deputy minister Thabang Makwetla (one of the alleged ANC leaders who received security systems courtesy of Bosasa) is clapping. ''Thabang must know that he is going to jail'', says Malema #SONA2019"
"9518","Ramaphosa ends: Let's continue to embrace the spirit of citizen activism in line with the injunction, Thuma Mina, in the onward march towards equality, freedom and prosperity for all. 

Thank you very much

#SONA2019"
"9519","Ramaphosa: To ensure the credibility of the turnaround plan and avoid a similar financial crisis in a few years’ time, Eskom will need to develop a new business model #SONA2019"
"9520","No more tarvens and bottle stores near schools, says Ramaphosa #SONA2019"
"9521","Ramaphosa says new National Director of Public Prosecutions in S Batohi's office to dealing with serious corruption and associated offences, in accordance with section 7 of the NPA Act, imminent #SONA2019"
"9522","Grow your business in youtube channel...i will help you how to grow your business..... just contract me.. https://t.co/OW5gT4oMNp 
#video_seo #seo_optimization #youtube_video_seo #youtubeseo #digitalmarketing  #seo 
#SONA2019, #SözlesmeliMEMURSENsiz, 
#EyyaminKraliTurkHakemleri"
"9523","@EFFSouthAfrica have always said @CyrilRamaphosa does not believe in land expropriation without compensation, the fact that he stayed clear of it solidifies the assertion by EFF.
#SONA2019"
"9524","Key takeaway from #SONA2019 , 8 May election day. The rest, forget about it.
@CyrilRamaphosa 
@eNCA"
"9525","Making a blanket statement about corruption when his ministers are  implicated in the #Bosasa #StateCaptureInquiry scandal!!
Where is the seriousness?

#SONA2019"
"9526","Talks about tablets at schools and says nothing about data costs and spectrum<U+0001F644> #SONA2019"
"9527","There is unrest in tertiary education and he ignores the issue of university subsidies and student debt and accommodation.
Does he have a plan ?? #SONA2019"
"9528","#SONA2019... 

@Julius_S_Malema  be like... ""i said Nooo Ndlozi... this time we are not disrupting the State of the nation address, nooo guys c'monnnn...do not look at me like that..."" https://t.co/WUtquuE9kr"
"9529","#SONA2019 Tomorrow's newspapers will be having Headlines such as ""Julius Malema sat down and did nothing throughout the entire SONA of 2019"" https://t.co/HVfGJfO2vh"
"9530","#SONA2019 journalists be like ""...and then???... JuJu??? Dramanyana ??? How do you expect  the newspapers to sell tomorrow??? Why are you being so selfish??? The peace is boring, we absolutely miss Zuma"". https://t.co/tLTsJq6YtJ"
"9531","When I grow up, I want to be @Julius_S_Malema #SONA2019."
"9532","""It is a South Africa ready to take advantage of the technological changes sweeping 
the globe to make our economy grow and create jobs for our people."" said our President Mr Ramaphosa, few minutes ago during 2019 SONA #SONA2019 @LimpopoCon @ButiManamela let's implement https://t.co/SBj83Rmcsu"
"9533","@GovernmentZA This initiative has failed from a promise of 330000 youth employment last year to maybe 2000 only employed with 300 companies registered to date. Change direction Mr. President we need a better strategy. #sona2019"
"9534","@GovernmentZA Invest in electricity, decent classrooms, toilets, then data and then security to keep these tablets safe.....and while you at it check the numbers in each classroom as I visited a school in Randfontein recently with 77 per class being the highest and an average of 55 #SONA2019"
"9535","So like I just switched channels because #BeingBonang <U+2764><U+FE0F> #SONA2019 breaaknyana <U+263A><U+FE0F>"
"9536","Dink julle sy het iets darem gehoor? #SONA2019 #SONA19 https://t.co/WI4i0EqaZS"
"9537","Check it out! lizeykevin will create 150 do follow blog comment backlinks i... for $5 on #Fiverr https://t.co/PkWoCKqyKh #EyyaminKraliTurkHakemleri #SONA2019 #Zubac #MarcGasol #Raptors #BarisMehdiyleGelecek #SözlesmeliMEMURSENsiz #SnRTEMahkumMüjdeBekliyor #WellsFargo #Mirotic"
"9538","@MabundaLinda @Varsilife @akaworldwide @Computicket @ChannelOTV Yes he's telling us about #SONA2019 while we talking about serious things #AKAOrchestraOnTheSquare"
"9539","Yerrr!!! Opposition parties are so childish.#SONA2019 https://t.co/hRYMY5t1lc"
"9540","Who is still voting for the PAC and why? #SONA2019"
"9541","If you don't know, @presidencyza Negroponte's one laptop per child (OLPC) campaign was abandoned as mobile tablets surpassed attempts to create a cheap robust laptop for students in developing world https://t.co/xaIygJKMwm #sona2019"
"9542","Dear @PresidencyZA the plan to improve educational development through tablets will waste billions. #SONA2019 What research shows that NMTs markedly increases student success? Also massive issue of theft, broadband access and abuse. Get fundamentals right https://t.co/QoLG3i4d3S"
"9543","A 2015 study into tablet adoption for achievement of education outcomes showed tablets had negligible impact on achieving learning outcomes and in some cases made it worse. Fix education system and stop looking for a magic bullet #SONA2019
https://t.co/KZfRxVA2gs"
"9544","Attempts to empower  teachers to facilitate better approaches to learning with Teacher Laptop Initiative also hit major sags. Anecdotal &amp; academic research showed that project struggled because project designers did not consider user context #SONA2019 https://t.co/RG7RjuTRd2"
"9545","The introduction of any new technology should not be rushed into with a set of simplistic universalised assumptions. Education is a multidimensional challenge that demands thoughtful multidimensional solutions suited to teachers and students in their context #sona2019"
"9546","Bt who started the Afrikaans thing? Coz it's all over my TL <U+0001F634>...

#SONA2019 
#SONA19 https://t.co/4ScnOkiIJb"
"9547","Happy birthday Thokozani @PatOnBrands 

May God continue to bless you with many more years, filled with more kms to run and #PatOnBrands to trend lol 

I hope you are enjoying the rest of your evening with your loved ones. Love you and happy birthday PAT <U+0001F3C3><U+0001F3FE><U+200D><U+2640><U+FE0F><U+0001F44A><U+0001F3FE><U+0001F4AA><U+0001F3FE><U+0001F44B><U+0001F3FD> #SONA2019 https://t.co/9INr1aaL5f"
"9548","@SABCNewsOnline I guess when you hear the same lies every year, you just have to admit they start to sound convincing. I mean why create jobs when you can give people hope that they might get employed, unemployment should be a policy #SONA2019 #FullView"
"9549","Parliament was like the awards hey #SONA2019"
"9550","When was the last time there was order like this in the parliament. <U+0001F610>jeez I’m proud of our leaders <U+270A><U+0001F3FD>. #SONA2019"
"9551","Lol Julius is funny #SONA2019"
"9552","Many are complaining that this an investment biased speech. My take is that primarily it's a call for all South Africans to invest time, energy and resource capabilities. The priority in that instance is to build confidence domestically amongst us as critical investors! #SONA2019"
"9553","#SONA2019 Revitalize township &amp; rural economies now.
#PrioritizeSmallDorpies"
"9554","#SONA2019 https://t.co/lDgmznJyow"
"9555","O problema de chutar o balde é ter que buscar ele depois. -Ana Maria Braga. #HappyINDay #ThursdayThoughts #SONA2019 #SözlesmeliMEMURSENsiz #<U+30AC><U+30EA><U+30D9><U+30F3><U+30AC><U+30FC>V  #ModiUnstoppable #ModiParliamentSpeech #DarpokModi"
"9556","Pessoas que você nunca deve esquecer : Quem te AJUDOU nos tempos dificeis, Quem te DEIXOU nos tempos dificeis , E quem te COLOCOU nos tempos dificeis #HappyINDay #ThursdayThoughts #SONA2019 #SözlesmeliMEMURSENsiz #<U+30AC><U+30EA><U+30D9><U+30F3><U+30AC><U+30FC>V  #ModiUnstoppable #ModiParliamentSpeech #DarpokModi"
"9557","Quando o calo aperta, uns vão embora da festa. 
Outros continuam a dançar descalços! - Ana Maria Braga #HappyINDay #ThursdayThoughts #SONA2019 #SözlesmeliMEMURSENsiz #<U+30AC><U+30EA><U+30D9><U+30F3><U+30AC><U+30FC>V  #ModiUnstoppable #ModiParliamentSpeech #DarpokModi"
"9558","O cúmulo da falsidade é quando a pessoa tem duas caras. E nenhuma delas presta. -Ana Maria Braga #HappyINDay #ThursdayThoughts #SONA2019 #SözlesmeliMEMURSENsiz #<U+30AC><U+30EA><U+30D9><U+30F3><U+30AC><U+30FC>V  #ModiUnstoppable #ModiParliamentSpeech #DarpokModi"
"9559","Valorize as pessoas que ficam ao seu lado na tempestade.
Pois em dia de sol a praia fica cheia! -Ana Maria Braga.
#HappyINDay #ThursdayThoughts #SONA2019 #SözlesmeliMEMURSENsiz #<U+30AC><U+30EA><U+30D9><U+30F3><U+30AC><U+30FC>V  #ModiUnstoppable #ModiParliamentSpeech #DarpokModi"
"9560","""This guy said nothing about plans for a pet allowance. In fact he said nothing about animals."" #SONA2019 #ChroniclesOfSmally #KuWrongKuRough #GeorgeDiaries https://t.co/7ZZdZwEb0J"
"9561","In Thembalethu there's a bottle store directly opposite a school gate. Let's see if it will be closed or this is just talk #SONA2019"
"9562","No evaluat-sphithiphithi lol we are led laa bafeth <U+0001F60E> phakama Ramaphosa! #SONA2019"
"9563","We need to understand that if the ANC utilizes the EFF manifesto then there's no cause for it's existence <U+0001F937><U+200D><U+2640><U+FE0F> #SONA2019"
"9564","#SONA2019 https://t.co/HyU3hd8bZO"
"9565","Cupcake singing to #EFFManifesto ja neh uyeza uphephela come #8thMay the revolution will be televised. Siyabonga Cupcake for the stamp of approval #SONA2019"
"9566","#SONA2019 Our President quoting Roosevelt. https://t.co/EzTrAIKgEp"
"9567","Really excited about the drive to grow small businesses and equiping the youth for the future. #SONA2019"
"9568","#SONA2019 Well that was interesting. I advise you watch a recording if you can"
"9569","@OneDayLeader 
#OneDayLeader7 when are the leaders challenging the 
#SONA2019 ?"
"9570","We used to watch #SONA2019  with popcorns<U+0001F37F> until #YatlaSATANE enngwe ya di big 5<U+0001F403>"
"9571","#SONA2019 didn’t have some action today , This was not the SONA we ordered <U+0001F62A>"
"9572","Are we seriously going to sit and act like matured adults?<U+0001F612>
#SONA2019 https://t.co/nAGVbeYttI"
"9573","But why?<U+0001F622>
#SONA2019 https://t.co/jxBYMORoQF"
"9574","#SONA2019 South Africa currently ranks high when it comes to youth unemployment. Mr President Ramaphosa proudly revealed that things are currently moving swiftly in launching the initiative which aims to create #250000jobs a year. We hope &amp; cross fingers for positive  outcome <U+0001F91E> https://t.co/yWywxAAXgX"
"9575","#Sona2019. Wonderful plan of action by President @CyrilRamaphosa. The commission on @4IndustrialRevolution needs to mitigate unintended negative consequence for developing countries. Lip frogging is an option to pursue. @Stellarated, @wef, @NEPAD_Agency. Long live the Republic. https://t.co/7yOLT7mh6j"
"9576","There was no substance in the speech it is just full of promises says the PAC #SONA2019"
"9577","Election date is the 8th of May 2019 @CyrilRamaphosa #SONA2019"
"9578","In terms of corruption heads must roll in all honesty. These politicians have gotten away with so much. #SONA2019 #SONA19 https://t.co/MouxRzemGs"
"9579","https://t.co/7LR72wvg6B #SONA2019"
"9580","Interesting, and I feel a well said #SONA2019 by our President. Although it is still to be seen if the promises will be lived up to and there is a lot to do, i think we are slowly moving in the right direction as a nation<U+0001F1FF><U+0001F1E6>"
"9581","#SONA2019
<U+0001F50C><U+0001F4E1><U+23F3><U+0001F4BF><U+0001F6E0><U+0001F4DE>
<U+0001F4F8><U+0001F489><U+0001F6B0><U+0001F321><U+2699><U+0001F38F>
<U+0001F48A><U+2696><U+0001F48E><U+0001F58B><U+0001F4D8><U+0001F4D0>
<U+0001F4C8><U+0001F50E><U+270F><U+0001F5A5><U+23F0><U+0001F4BE>
<U+0001F58B><U+0001F4CF><U+0001F50E><U+0001F4E7><U+0001F699><U+2708>
<U+0001F337><U+0001F940><U+0001F33A><U+0001F338><U+0001F33C><U+0001F490><U+0001F337>

<U+0001F339>  Enjoy <U+0001F339>

https://t.co/4cnQN4H8FS"
"9582","Unemployment benefit? #SONA2019"
"9583","#SONA2019 Thank you Mr President https://t.co/jDyHlRr7tF"
"9584","So Total has discovered an oil deposit in SA?... I bet Cyril gives the mining to the Chinese.  And our fuel sky rockets  as usual.  #SONA2019"
"9585","A speech, that's exactly what it was,  just a well delivered speech. We want practice. #SONA2019"
"9586","Dont wanna sound like im having a go at the Public Broadcaster but @eNCA has given the best coverage of #SONA2019"
"9587","Awancuma @Stellarated kamnandi ngoku uPres @CyrilRamaphosa ethetha nge sebe lakho #SONA2019"
"9588","8th of May Is a national public holiday #SONA2019 #TSAon3 https://t.co/FtJpNFr53O"
"9589","Listening to a polished and eloquent @CyrilRamaphosa delivering #SONA2019 is tempting many to vote #ANC again! <U+0001F605> #CyrilRamaphosa"
"9590","#SONA2019 though. How I miss Msholozi's regime, where names like ""ginger"" and ""sgantsotso"" were pulled https://t.co/Wp1PV0Fend"
"9591","Its past bed time for most of the pensioners in Parliament 
#SONA2019"
"9592","Same wine, different packaging #SONA2019"
